CityCode,CityName,AreaKM2,PopulationW,GovernLocation,MailCode
141124.0,临县,2976.0,66.0,临泉镇,33200.0
141125.0,柳林县,1288.0,35.0,柳林镇,33300.0
141126.0,石楼县,1735.0,12.0,灵泉镇,32500.0
141127.0,岚县,1513.0,19.0,东村镇,33500.0
141128.0,方山县,1433.0,16.0,圪洞镇,33100.0
141129.0,中阳县,1439.0,16.0,宁乡镇,33400.0
141130.0,交口县,1260.0,12.0,水头镇,32400.0
150100.0,呼和浩特市,17420.0,249.0,新城区,10000.0
150102.0,新城区,661.0,43.0,成吉思汗大街街道,10050.0
150103.0,回民区,194.0,24.0,钢铁路街道,10030.0
150104.0,玉泉区,207.0,20.0,昭君路街道,10070.0
150105.0,赛罕区,1025.0,54.0,昭乌达路街道,10020.0
150122.0,托克托县,1417.0,20.0,双河镇,10200.0
150123.0,和林格尔县,3448.0,20.0,城关镇,11500.0
150124.0,清水河县,2818.0,14.0,城关镇,11600.0
150125.0,武川县,4885.0,17.0,可可以力更镇,11700.0
150121.0,土默特左旗,2765.0,36.0,察素齐镇,10100.0
150200.0,包头市,27768.0,225.0,昆都仑区,14000.0
150203.0,昆都仑区,301.0,52.0,少先路街道,14010.0
150202.0,东河区,470.0,41.0,河东街道,14040.0
150204.0,青山区,280.0,41.0,青福镇,14030.0
150205.0,石拐区,761.0,5.0,石拐街道,14070.0
150206.0,白云鄂博矿区,303.0,2.0,通阳街道,14080.0
150207.0,九原区,850.0,17.0,沙河街道,14060.0
150222.0,固阳县,5025.0,20.0,金山镇,14200.0
150221.0,土默特右旗,2368.0,36.0,萨拉齐镇,14100.0
150223.0,达尔罕茂明安联合旗,17410.0,11.0,百灵庙镇,14500.0
150300.0,乌海市,1754.0,44.0,海勃湾区,16000.0
150302.0,海勃湾区,529.0,24.0,凤凰岭街道,16000.0
150303.0,海南区,1005.0,8.0,拉僧仲街道,16030.0
150304.0,乌达区,220.0,11.0,滨海街道,16040.0
150400.0,赤峰市,90021.0,460.0,松山区,24000.0
150402.0,红山区,506.0,35.0,站前街道,24000.0
150403.0,元宝山区,953.0,32.0,平庄城区街道,24076.0
150404.0,松山区,5618.0,61.0,振兴街道,24005.0
150424.0,林西县,3933.0,23.0,林西镇,25250.0
150429.0,宁城县,4305.0,61.0,天义镇,24200.0
150421.0,阿鲁科尔沁旗,14555.0,29.0,天山镇,25550.0
150422.0,巴林左旗,6459.0,34.0,林东镇,25450.0
150423.0,巴林右旗,9837.0,18.0,大板镇,25150.0
150425.0,克什克腾旗,20673.0,25.0,经棚镇,25350.0
